NO,曲名,品番,演奏時間,出版社,備考
68,名曲ファンファーレ集 5曲,QC-81,,ミュージックエイト / コンサートシリーズ,
69,めざせポケットモンスター,QH-632,,ミュージックエイト / ヒットシリーズ,
70,ヤングマン (Y・M・C・A),QQ-7,,ミュージックエイト / 少人数吹奏楽,
71,Love Love Love / ドリームズ・カム・トウルー,QH-543,,ミュージックエイト / ヒットシリーズ,
72,らいおんハート / SMAP,QQ-2,,ミュージックエイト / 少人数吹奏楽,
73,「ルパン3世」のテーマ (ROCK VERSION),QH-549,,ミュージックエイト / ヒットシリーズ,
74,イケナイ太陽 / ORANGE RANGE,QH-1055,,ミュージックエイト / ヒットシリーズ,
75,行進曲「威風堂々」第1番 / エルガー,QC-123,,ミュージックエイト / コンサートシリーズ,
76,ウィーンはウィーン,QM-7,,ミュージックエイト / マーチシリーズ,
77,おどるポンポコリン,QH-327,,ミュージックエイト / ヒットシリーズ,
78,キューティーハニー,QH-612,,ミュージックエイト / ヒットシリーズ,
79,じょいふる,QH-1218,,ミュージックエイト / ヒットシリーズ,
80,だんご3兄弟,QH-687,,ミュージックエイト / ヒットシリーズ,
81,テレビCMオンパレード CM26曲,QC-177,,ミュージックエイト / コンサートシリーズ,
82,トップ・オブ・ザ・ワールド,SK-260,,ミュージックエイト / 器楽合奏用楽譜,
83,のだめカンタービレ,QC-204,,ミュージックエイト / コンサートシリーズ,
84,「魔女の宅急便」より 2曲,QC-78,,ミュージックエイト / コンサートシリーズ,
85,あの日聞いた歌 6曲,POMS-81009,,ブレーン,
86,AMBITIOUS JAPAN! / TOKIO,QH-903,,ミュージックエイト / ヒットシリーズ,
87,篤姫のテーマ,,,,
88,アフリカン・シンフォニー,,,,
89,アルメニアン・ダンス,,,,
90,イン・ザ・ムード,,,,
91,エル・キャピタン / J.P.スーザ,,,,
92,演歌メドレー,,,,
93,オリエント急行 / P.スパーク,,,,
94,ガーシュウィン・エアー 金管8重奏,GME-7106,,アコード出版 / アンサンブル,
95,崖の上のポニョ,WSL-08-009,,ウインズスコア,
96,カルメン,,,,
97,川の流れのように,,,,
98,軍隊行進曲,TC-2,,東亜音楽社 / 音楽之友社,
